incident_id,date,state,city_or_county,address,n_killed,n_injured,congressional_district,gun_stolen,gun_type,incident_characteristics,latitude,location_description,longitude,n_guns_involved,notes,participant_age,participant_age_group,participant_gender,participant_status,participant_type,state_house_district,state_senate_district
488970,6/22/2013,Rhode Island,Providence,55 Curtis,0,4,2,,,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.8217,,-71.4496,,4 inj at birthday party; drive by. Non life-threatening injuries.,0::39||1::26,0::Adult 18+||1::Adult 18+||2::Teen 12-17||3::Teen 12-17||4::Adult 18+,0::Male||1::Male||4::Male,0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,9,5
489061,6/23/2013,Tennessee,Chattanooga,1501 Dodds Ave,1,4,3,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",35.0221,,-85.2697,,ms; 1 k; 3 inj. Two of the injured 126 Athens Park Blood gang members. Emotion Event Hall club fight earlier.,0::19||1::21||2::30,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Teen 12-17||4::Adult 18+,0::Male||2::Male||3::Male||4::Male,"0::Killed, Injured||1::Injured||2::Injured||3::Injured||4::Unharmed",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,28,10
489096,6/23/2013,California,Sacramento,Sea Drift Way,1,3,6,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement||Possession of gun by felon or prohibited person||Stolen/Illegally owned gun{s} recovered during arrest/warrant",38.4655,,-121.459,,"ms;1 killed, 3 injured at Valley Hi house party. Conviction.",0::19||1::15||2::17||3::18||4::19,0::Adult 18+||1::Teen 12-17||2::Teen 12-17||3::Adult 18+||4::Adult 18+||5::Teen 12-17,0::Male||1::Female||2::Male||3::Male||4::Male||5::Male,"0::Killed||1::Injured||2::Injured||3::Injured||4::Unharmed, Arrested||5::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,9,6
489105,6/23/2013,Missouri,Kansas City,1917 Prospect Ave,1,8,5,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",39.0891,Redline Motorcycle Club,-94.5518,,"ms; 1 killed, 8 inj. Shooting at motorcycle club.",0::23||1::17,0::Adult 18+||1::Teen 12-17||9::Adult 18+,0::Male||1::Female||2::Male||9::Male,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured||6::Injured||7::Injured||8::Injured||9::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Victim||7::Victim||8::Victim||9::Subject-Suspect,23,9
489121,6/23/2013,Louisiana,New Orleans,5700 block of Wickfield Drive,0,4,2,0::Unknown,0::40 SW,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",30.0165,,-90.0689,1,ms. 4 inj at going away party for a soldier in Gentilly.,0::18||1::20||2::18||3::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Female||2::Male||3::Male||4::Male,0::Injured||1::Injured||2::Injured||3::Injured||4::Unharmed,0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect,97,3
489129,6/23/2013,Virginia,Virginia Beach,4600 block of Columbus Street,1,4,2,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Bar/club incident - in or around establishment",36.841,,-76.1371,,"ms:;1 killed, 4 inj. Shooting at Town Center near Dick’s Sporting Goods and Guadalajara Restaurant/Night Club.",0::25,0::Adult 18+,0::Male,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim,85,7
489934,6/24/2013,Missouri,Kansas City,1711 Kansas Avenue,1,3,5,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",39.0914,Sycamore Grove Apartments,-94.5484,,"Gunman on foot. One woman passenger shot in neck, woman driver shot in the arm. Two men were talking to the women in the car.",0::27,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+,0::Male||1::Male||2::Female||3::Female,0::Killed||1::Injured||2::Injured||3::Injured,0::Victim||1::Victim||2::Victim||3::Victim,23,9
489987,6/25/2013,Illinois,Chicago,73rd Street and King Drive,1,4,1,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.7621,,-87.6152,,,0::19||1::20||2::20||3::19||4::18,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+,0::Female||1::Male||2::Male||3::Female||4::Male,0::Killed||1::Injured||2::Injured||3::Injured||4::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim,32,16
490048,6/27/2013,California,Three Rivers,39553-39833 Sierra Dr,2,2,23,0::Unknown,0::Unknown,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",36.4144,Cobble Knoll Recreation Area,-118.925,1,,0::28||1::29||2::20||3::28||4::21||5::17,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Teen 12-17,0::Male||1::Female||2::Male||3::Male||4::Male||5::Male,"0::Unharmed, Arrested||1::Unharmed, Arrested||2::Killed||3::Killed||4::Injured||5::Injured",0::Subject-Suspect||1::Subject-Suspect||2::Victim||3::Victim||4::Victim||5::Victim,23,8
490115,6/28/2013,Illinois,Chicago,4800 block of North Sheridan Road,0,6,9,,,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",41.9691,JJ Peppers Food Store,-87.6548,,,0::24||1::23||2::24||3::30||4::33||5::22,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Female||1::Female||2::Male||3::Male||4::Male||5::Female,0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim,13,7
490150,6/29/2013,South Carolina,North Charleston,4400 Dorchester Road; Suite 115,3,1,6,,,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",32.8549,Cycle Gear,-80.0122,,"Melee outside the shop between two rival motorcycle clubs, the Columbia-based Real Kingz and the Wheels of Soul.",0::41||1::39||2::36||4::43||5::32,0::Adult 18+||1::Adult 18+||2::Adult 18+||3::Adult 18+||4::Adult 18+||5::Adult 18+,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male,"0::Killed||1::Killed||2::Killed||3::Injured||4::Unharmed, Arrested||5::Unharmed, Arrested",0::Victim||1::Victim||2::Victim||3::Victim||4::Subject-Suspect||5::Subject-Suspect,109,42
490226,6/30/2013,New York,Brooklyn,616 E. 52nd Street,0,9,9,,,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Possession of gun by felon or prohibited person",40.6452,,-73.928,,,,,0::Male||1::Male||2::Male||3::Male||4::Female||5::Female||6::Female||7::Female||9::Female,0::Injured||1::Injured||2::Injured||3::Injured||4::Injured||5::Injured||6::Injured||7::Injured||9::Injured,0::Victim||1::Victim||2::Victim||3::Victim||4::Victim||5::Victim||6::Victim||7::Victim||8::Victim||9::Subject-Suspect,58,21
